source_file,record_path,quantity,method,point_estimate,ci_low,ci_high,n_sites,nominal_draws,retained_draws,shortfall,endpoint_touches_0_or_1
robustness/results/robustness_statistics.json,/cohort_sensitivity[1],cohort_sensitivity[1],bootstrap_auc (protein cluster),0.5441347270615563,0.43575552928798883,0.6487455197132617,166,200000,200000,0,
robustness/results/robustness_statistics.json,/cohort_sensitivity[2],cohort_sensitivity[2],bootstrap_auc (protein cluster),0.5404174015285126,0.4334074240491651,0.6450329666042447,165,20000,20000,0,
robustness/results/robustness_statistics.json,/cohort_sensitivity[3],cohort_sensitivity[3],bootstrap_auc (protein cluster),0.5220398970398971,0.4075690685351206,0.6316990939091454,158,20000,20000,0,
robustness/results/robustness_statistics.json,/cohort_sensitivity[4],cohort_sensitivity[4],bootstrap_auc (protein cluster),0.49906716417910446,0.38915498357064626,0.6054819824050592,147,20000,20000,0,
robustness/results/robustness_statistics.json,/cohort_sensitivity[5],cohort_sensitivity[5],bootstrap_auc (protein cluster),0.6041666666666666,0.2718831168831169,1.0,16,20000,19335,665,high=1
robustness/results/robustness_statistics.json,/cohort_sensitivity[6],cohort_sensitivity[6],bootstrap_auc (protein cluster),0.538506760728983,0.4287111426223594,0.6409485361987408,165,20000,20000,0,
robustness/results/robustness_statistics.json,/residue_class_sensitivity[0],residue_class_sensitivity[0],bootstrap_auc (protein cluster),0.49369747899159666,0.3810426881381854,0.6022168856048166,107,20000,20000,0,
robustness/results/robustness_statistics.json,/residue_class_sensitivity[1],residue_class_sensitivity[1],bootstrap_auc (protein cluster),0.5026041666666666,0.2950307584303087,0.7142857142857143,40,20000,20000,0,
robustness/results/robustness_statistics.json,/residue_class_sensitivity[2],residue_class_sensitivity[2],bootstrap_auc (protein cluster),0.6041666666666666,0.26666666666666666,1.0,16,20000,19404,596,high=1
robustness/results/robustness_statistics.json,/continuous_outcomes[0],continuous_outcomes[0],cluster_boot_spearman (retained count not stored),-0.099085815734,-0.273904422126,0.083528640981,163,4000,not stored,,
robustness/results/robustness_statistics.json,/continuous_outcomes[1],continuous_outcomes[1],cluster_boot_spearman (retained count not stored),-0.092928010995,-0.263851392763,0.088768114136,163,4000,not stored,,
robustness/results/robustness_statistics.json,/continuous_outcomes[2],continuous_outcomes[2],cluster_boot_spearman (retained count not stored),-0.094332773594,-0.274033400346,0.086527064086,163,4000,not stored,,
robustness/results/robustness_statistics.json,/continuous_outcomes[3],continuous_outcomes[3],cluster_boot_spearman (retained count not stored),-0.114746648489,-0.282782090077,0.056438794644,163,4000,not stored,,
robustness/results/robustness_statistics.json,/continuous_outcomes[4],continuous_outcomes[4],cluster_boot_spearman (retained count not stored),-0.07616617066,-0.246223339036,0.086302728016,163,4000,not stored,,
robustness/results/robustness_statistics.json,/confidence_correlations/spearman_distance_vs_pair_pae,spearman_distance_vs_pair_pae,cluster_boot_spearman (retained count not stored),0.7530127362828364,0.6606291954202752,0.8266452345537996,,4000,not stored,,
