path,bytes,sha256,source,source_url,source_version,license,license_url,transformation
robustness/data/pae/P12904_v6_pae.json.gz,29122,142ef8ac5af508ee433cae5c657547168bddc7a2cb1160e89a72afefbe87f1e0,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P12904-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P13185_metadata.json,3839,adc60ad6ce93c75f4127fc31f4d146297070be03299d61c4b3caeab387067394,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P13185,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P13185_v6_pae.json.gz,377431,88644d2c087c0f0bc9eedfb5d0d32ec55bdf534a5dec7c8e07c913d7016d9903,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P13185-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P16140_metadata.json,2737,741c65bbbe14d5ea666257cca62fcbb3324ee694b62bfe477d050cec44a0df7c,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P16140,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P16140_v6_pae.json.gz,92231,6419ac7b74c335fce8953f26745550d72451063c19c5942acb2b4529af1dbe47,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P16140-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P16387_metadata.json,2576,3a0dff5e70909087f2ab7631938ae690000cffc760675f39f4f3043a0888b0e2,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P16387,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P16387_v6_pae.json.gz,41843,6f0be96e2b9b2dff8e0800a76b415fc130ba927e3b4be478e5c29214d3dd1790,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P16387-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P20449_metadata.json,2667,326797ca0d62176e32a26117e5f70fb678b51a3bef50b0f21673eba638359755,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P20449,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P20449_v6_pae.json.gz,72417,e1b05747d298d01b4fcd787b8e9c45aaa472bd4c4c836a65236ff72fdce83709,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P20449-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P20604_metadata.json,2336,fc22664f034c730ce92d10998985bdd162bbaddd65f457dad33e67d297ef1a0c,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P20604,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P20604_v6_pae.json.gz,22024,eb7dbd5e495ea0745d2c2cb7ad28725520c1a87632f31f4a97708d5a346ba7c8,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P20604-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P21965_metadata.json,2441,95b0fda693e475c71c877240772e682a3f4419e5eb65d32030c299d18e6469ee,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P21965,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P21965_v6_pae.json.gz,38597,4ed23d9b7e282c279fafdb847e20d93672eddb531b2893bb4120faa616e5842e,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P21965-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
robustness/data/pae/P22082_metadata.json,5117,8fde184b0afc0b287237c44f9703aebfdbce468b810e70a63794b2f422a6f296,AlphaFold Protein Structure Database API metadata,https://alphafold.ebi.ac.uk/api/prediction/P22082,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,first API record serialized as indented JSON
robustness/data/pae/P22082_v6_pae.json.gz,957254,262f3c66a54af89ce04fdf70d3d902f4c627992fee83e8472b5b9b03251bce72,AlphaFold Protein Structure Database predicted aligned error,https://alphafold.ebi.ac.uk/files/AF-P22082-F1-predicted_aligned_error_v6.json,v6,CC BY 4.0,https://alphafold.ebi.ac.uk/assets/License-Disclaimer.pdf,source JSON serialized compactly and gzip-compressed
